"log_ell","log_sigma_f","log_sigma_n","source","chain","retained_draw"
-2.46462851627627,-2.8142049075082,-10.5319971812545,"spike",1,141
-2.46462851627627,-2.8142049075082,-10.5319971812545,"spike",1,142
-2.70490569155313,-2.88395456162425,-10.7106711740051,"spike",1,143
-2.70490569155313,-2.88395456162425,-10.7106711740051,"spike",1,144
-3.04683964945394,-2.86738090386683,-10.9121309767249,"spike",1,145
-1.6988072515506,-2.66329009725146,-10.3943667257486,"spike",1,146
-1.6988072515506,-2.66329009725146,-10.3943667257486,"spike",1,147
-2.68240297908459,-2.68268993329749,-11.017923849416,"spike",1,148
-2.60694649533444,-2.95013087884702,-10.8331918643072,"spike",1,149
-3.05610825139305,-3.02996676027623,-10.8767734070419,"spike",1,150
-2.80196001655978,-3.05161170660492,-10.8517838967472,"spike",1,151
-2.31709336100316,-2.99619878077591,-11.359889065109,"spike",1,152
-2.31709336100316,-2.99619878077591,-11.359889065109,"spike",1,153
-2.15875242972594,-2.79170145800196,-10.419502277813,"spike",1,154
-1.66767129955279,-2.73210717902568,-10.6192432649514,"spike",1,155
-2.21871781456516,-2.68645065357462,-11.1540539729418,"spike",1,156
-2.21871781456516,-2.68645065357462,-11.1540539729418,"spike",1,157
-2.4411479891424,-3.00009163037794,-11.2229514403553,"spike",1,158
-2.21321096289954,-2.64470051254647,-11.3353568807666,"spike",1,159
-2.53719465120562,-2.93985620431243,-11.2577222907949,"spike",1,160
-2.53719465120562,-2.93985620431243,-11.2577222907949,"spike",1,161
-2.53719465120562,-2.93985620431243,-11.2577222907949,"spike",1,162
-2.89093253981556,-2.85476271967959,-10.3044806983173,"spike",1,163
-1.67504301508452,-2.78627946370223,-10.9978903148869,"spike",1,164
-2.57974003846532,-3.17650937535046,-10.7082464091321,"spike",1,165
-2.57974003846532,-3.17650937535046,-10.7082464091321,"spike",1,166
-2.57974003846532,-3.17650937535046,-10.7082464091321,"spike",1,167
-2.57974003846532,-3.17650937535046,-10.7082464091321,"spike",1,168
-2.57974003846532,-3.17650937535046,-10.7082464091321,"spike",1,169
-2.57974003846532,-3.17650937535046,-10.7082464091321,"spike",1,170
-2.57974003846532,-3.17650937535046,-10.7082464091321,"spike",1,171
-2.57974003846532,-3.17650937535046,-10.7082464091321,"spike",1,172
-2.55272912182312,-2.89001066837218,-10.1118009580105,"spike",1,173
-2.55272912182312,-2.89001066837218,-10.1118009580105,"spike",1,174
-3.62241829322027,-2.65710169882571,-11.3007379823363,"spike",1,175
-3.41337941108352,-2.60046589868426,-11.1198268986538,"spike",1,176
-3.41337941108352,-2.60046589868426,-11.1198268986538,"spike",1,177
-3.24158978662235,-2.60757756138106,-11.006722206879,"spike",1,178
-1.60931937698941,-2.68569856305357,-11.1764634883033,"spike",1,179
-1.45751410368286,-2.51951346698142,-10.4678696612389,"spike",1,180
-2.5340061895381,-2.77677055059957,-10.7807819337795,"spike",1,181
-2.5340061895381,-2.77677055059957,-10.7807819337795,"spike",1,182
-2.35865854492737,-2.77923919405289,-10.5622770379308,"spike",1,183
-2.56241428992339,-2.95958446617965,-11.1809012663204,"spike",1,184
-2.68396317612046,-2.84543458585697,-10.6139544924665,"spike",1,185
-2.68396317612046,-2.84543458585697,-10.6139544924665,"spike",1,186
-2.68396317612046,-2.84543458585697,-10.6139544924665,"spike",1,187
-2.68396317612046,-2.84543458585697,-10.6139544924665,"spike",1,188
-2.05448497764175,-2.87638998948314,-10.8961421824006,"spike",1,189
-2.33627152825807,-2.91731153597425,-11.4203572454959,"spike",1,190
-2.33627152825807,-2.91731153597425,-11.4203572454959,"spike",1,191
-2.7118648515818,-2.73783419840788,-10.9310149998268,"spike",1,192
-2.76988753176715,-2.69396060807363,-11.1429382300827,"spike",1,193
-1.90410516133201,-2.79511556890441,-11.4387610665019,"spike",1,194
