"eta","replication","source","seed","source_label","method","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD","RMSE_reference","delta_RMSE"
0.001,20,"ring",22161387,"Ring-shaped source","RBF",0.160801244362703,0.102361801831919,0.694229625223082,0.27997122378095,0.168546624033313,0.0886604178325756,2.41723457860233,0.158734380586074,0.00206686377662899
0.001,20,"ring",22161387,"Ring-shaped source","Matern 0.5",0.158734380586074,0.0964900888097674,0.894110648423557,0.565286459385749,0.0636834473527662,0.0833828682863269,-0.358861357487424,0.158734380586074,0
0.001,20,"ring",22161387,"Ring-shaped source","Matern 1.5",0.158265138584982,0.0984922834729793,0.778703152885187,0.381982291558592,0.114546029149316,0.0841089617053506,0.253896870149929,0.158734380586074,-0.000469242001091996
0.001,20,"ring",22161387,"Ring-shaped source","Matern 2.5",0.159050292868508,0.099685302328236,0.741225461035098,0.339665242597035,0.137300342058299,0.0854809194001541,0.762922625381149,0.158734380586074,0.000315912282433994
0.001,20,"sine",22161387,"Sine-cosine source","RBF",0.0465020246909033,0.0333469443697699,0.286734086853064,0.0307694848185189,0.582883328375967,0.0297355073027594,20.116136705396,0.0571215253373226,-0.0106195006464193
0.001,20,"sine",22161387,"Sine-cosine source","Matern 0.5",0.0571215253373226,0.0412127169773735,1,0.450979395909614,0.162134518143962,0.0363701134014573,-1.15774074830743,0.0571215253373226,0
0.001,20,"sine",22161387,"Sine-cosine source","Matern 1.5",0.0441039794956714,0.0335615109367938,0.797739440809042,0.109828439783575,0.149287254610351,0.0247710071938791,-1.02770174756074,0.0571215253373226,-0.0130175458416512
0.001,20,"sine",22161387,"Sine-cosine source","Matern 2.5",0.0444623493477496,0.0325899954261595,0.475312314098751,0.0556671028424067,0.426503197501487,0.0270247481312311,6.29728045129737,0.0571215253373226,-0.012659175989573
0.001,20,"spike",22161387,"Hidden narrow spike","RBF",0.0439961429129479,0.0104111497706386,0.932183224271267,0.0892653757334341,0.134638236168947,0.0127911506741621,-0.516579627198474,0.045418059771116,-0.0014219168581681
0.001,20,"spike",22161387,"Hidden narrow spike","Matern 0.5",0.045418059771116,0.0100199745354045,0.969660916121356,0.156484389501348,0.155395969660916,0.0152613739619559,-1.63749416791661,0.045418059771116,0
