"source","hyper_method","kernel","label","nominal","empirical","mean_width","method","replication","eta","seed"
"mixture","multistart_eb","matern25","Matern 2.5",0.95,0.924449732302201,0.130276249903974,"Matern 2.5",1,0.001,20261387
"mixture","multistart_eb","matern25","Matern 2.5",0.975,0.933372992266508,0.148983116108347,"Matern 2.5",1,0.001,20261387
"mixture","multistart_eb","matern25","Matern 2.5",0.99,0.938132064247472,0.171212014458451,"Matern 2.5",1,0.001,20261387
"dipole","multistart_eb","rbf","RBF",0.5,0.841165972635336,0.0665989318494838,"RBF",1,0.001,20261387
"dipole","multistart_eb","rbf","RBF",0.6,0.867935752528257,0.083101448408232,"RBF",1,0.001,20261387
"dipole","multistart_eb","rbf","RBF",0.7,0.881023200475907,0.102337146937162,"RBF",1,0.001,20261387
"dipole","multistart_eb","rbf","RBF",0.8,0.913146936347412,0.126540048014802,"RBF",1,0.001,20261387
"dipole","multistart_eb","rbf","RBF",0.9,0.945270672218917,0.162412393326765,"RBF",1,0.001,20261387
"dipole","multistart_eb","rbf","RBF",0.95,0.960737656157049,0.193526303099311,"RBF",1,0.001,20261387
"dipole","multistart_eb","rbf","RBF",0.975,0.969066032123736,0.221315486943446,"RBF",1,0.001,20261387
"dipole","multistart_eb","rbf","RBF",0.99,0.976204640095181,0.254336674787253,"RBF",1,0.001,20261387
"dipole","multistart_eb","matern05","Matern 0.5",0.5,0.959547888161808,0.163880169269078,"Matern 0.5",1,0.001,20261387
"dipole","multistart_eb","matern05","Matern 0.5",0.6,0.964306960142772,0.204487955789222,"Matern 0.5",1,0.001,20261387
"dipole","multistart_eb","matern05","Matern 0.5",0.7,0.969066032123736,0.251821290474747,"Matern 0.5",1,0.001,20261387
"dipole","multistart_eb","matern05","Matern 0.5",0.8,0.976799524092802,0.311377433722968,"Matern 0.5",1,0.001,20261387
"dipole","multistart_eb","matern05","Matern 0.5",0.9,0.980963712076145,0.399648609529353,"Matern 0.5",1,0.001,20261387
"dipole","multistart_eb","matern05","Matern 0.5",0.95,0.990481856038073,0.476210690309742,"Matern 0.5",1,0.001,20261387
"dipole","multistart_eb","matern05","Matern 0.5",0.975,0.992861392028554,0.544591609128661,"Matern 0.5",1,0.001,20261387
"dipole","multistart_eb","matern05","Matern 0.5",0.99,0.997620464009518,0.625846934147078,"Matern 0.5",1,0.001,20261387
"dipole","multistart_eb","matern15","Matern 1.5",0.5,0.924449732302201,0.104060659024881,"Matern 1.5",1,0.001,20261387
"dipole","multistart_eb","matern15","Matern 1.5",0.6,0.958358120166568,0.129845798530624,"Matern 1.5",1,0.001,20261387
"dipole","multistart_eb","matern15","Matern 1.5",0.7,0.966686496133254,0.159901527806407,"Matern 1.5",1,0.001,20261387
"dipole","multistart_eb","matern15","Matern 1.5",0.8,0.972635336109459,0.197718498236883,"Matern 1.5",1,0.001,20261387
"dipole","multistart_eb","matern15","Matern 1.5",0.9,0.979773944080904,0.253768945147465,"Matern 1.5",1,0.001,20261387
"dipole","multistart_eb","matern15","Matern 1.5",0.95,0.980963712076145,0.30238434881624,"Matern 1.5",1,0.001,20261387
"dipole","multistart_eb","matern15","Matern 1.5",0.975,0.983938132064248,0.345804876807885,"Matern 1.5",1,0.001,20261387
"dipole","multistart_eb","matern15","Matern 1.5",0.99,0.988102320047591,0.397400397537512,"Matern 1.5",1,0.001,20261387
"dipole","multistart_eb","matern25","Matern 2.5",0.5,0.891136228435455,0.0886684733097968,"Matern 2.5",1,0.001,20261387
"dipole","multistart_eb","matern25","Matern 2.5",0.6,0.92266508030934,0.11063959068959,"Matern 2.5",1,0.001,20261387
