"eta","method","nominal","empirical_mean","empirical_mcse","empirical_q025","empirical_q975"
0.1,"RBF",0.6,0.574360499702558,0.0117272764754625,0.468773547491573,0.658444874082887
0.001,"Matern 0.5",0.7,0.897808843942098,0.00035763272596147,0.895139302002776,0.90021068808249
0.01,"Matern 0.5",0.7,0.884706523894507,0.00228773092636162,0.865719809637121,0.900069403133056
0.1,"Matern 0.5",0.7,0.852201070791196,0.00822526713093245,0.787234780884394,0.904216240333135
0.001,"Matern 1.5",0.7,0.763543525679159,0.00134730014714708,0.753661015268689,0.772330458060678
0.01,"Matern 1.5",0.7,0.78053242117787,0.00366229333888331,0.750835316279992,0.810695518540551
0.1,"Matern 1.5",0.7,0.740442197104898,0.00998369283710799,0.651068312512393,0.808610945865556
0.001,"Matern 2.5",0.7,0.693000198294666,0.00126651079979791,0.683774538964902,0.701564049177077
0.01,"Matern 2.5",0.7,0.739961332540155,0.00419451056446621,0.705180448145945,0.768421574459647
0.1,"Matern 2.5",0.7,0.703732897085068,0.010401623139384,0.60708407693833,0.778338786436645
0.001,"RBF",0.7,0.636342454887964,0.00150139305401428,0.627173805274638,0.649920682133651
0.01,"RBF",0.7,0.663191552647234,0.00437369628706171,0.633343248066627,0.690072873289709
0.1,"RBF",0.7,0.644690660321237,0.0113722495303543,0.537720602815784,0.726997818758675
0.001,"Matern 0.5",0.8,0.924771961134246,0.000109529523719972,0.923901943287726,0.925550267697799
0.01,"Matern 0.5",0.8,0.916101526868927,0.00153639813271765,0.902701764822526,0.924120067420186
0.1,"Matern 0.5",0.8,0.895176482252627,0.00719172694522154,0.832210489787825,0.942368134047194
0.001,"Matern 1.5",0.8,0.814629188974817,0.000831216955078297,0.808291195716835,0.820751536783661
0.01,"Matern 1.5",0.8,0.828023993654571,0.00326733219039914,0.800272655165576,0.851836704342653
0.1,"Matern 1.5",0.8,0.798889549871108,0.00842660360420949,0.729404620265715,0.865328177672021
0.001,"Matern 2.5",0.8,0.737338885583978,0.00139218643192012,0.728135534404125,0.745342554035296
0.01,"Matern 2.5",0.8,0.792801903628792,0.00361958598234297,0.762338885583978,0.818178663493952
0.1,"Matern 2.5",0.8,0.765551259171128,0.00923411742325161,0.681908090422368,0.834741225461035
0.001,"RBF",0.8,0.670196311719215,0.00148639920010527,0.661508526670632,0.683811719214753
0.01,"RBF",0.8,0.72006246281975,0.0040096645409022,0.689190462026571,0.745367340868531
0.1,"RBF",0.8,0.712061273051755,0.010396095536603,0.611910073369026,0.789495340075352
0.001,"Matern 0.5",0.9,0.944408090422368,0.000143696139147528,0.94322080111045,0.945275629585564
0.01,"Matern 0.5",0.9,0.943163791394012,0.000966097587648321,0.935095677176284,0.949846321633948
0.1,"Matern 0.5",0.9,0.931092603608963,0.00585368901183088,0.877248165774341,0.970952310132857
0.001,"Matern 1.5",0.9,0.856717231806464,0.000446671490816863,0.853100832837597,0.859971743010113
0.01,"Matern 1.5",0.9,0.875337100931985,0.00253266081109805,0.855316775728733,0.892132659131469
0.1,"Matern 1.5",0.9,0.852260559190958,0.00757489550997475,0.788337794963315,0.913409676779695
0.001,"Matern 2.5",0.9,0.784637120761452,0.00152683292405318,0.774258873686298,0.796710787229823
0.01,"Matern 2.5",0.9,0.845320245885386,0.00310963869650753,0.816498116200674,0.865833829069998
0.1,"Matern 2.5",0.9,0.824752131667658,0.00812504115442922,0.756209101725164,0.893099345627603
0.001,"RBF",0.9,0.717033511798533,0.00166735786016488,0.705071386079714,0.732004759071981
0.01,"RBF",0.9,0.783080507634345,0.00380068064138263,0.74853509815586,0.803901447551061
0.1,"RBF",0.9,0.780453103311521,0.00926266490799657,0.695265714852271,0.852691850089233
0.001,"Matern 0.5",0.95,0.956028157842554,0.000123855867226916,0.95502429109657,0.956875867539163
0.01,"Matern 0.5",0.95,0.958353162799921,0.000692257644191362,0.953975808050763,0.963664981162007
0.1,"Matern 0.5",0.95,0.948497917906008,0.00461839008450738,0.90783759666865,0.982500495736665
0.001,"Matern 1.5",0.95,0.87780586952211,0.000260882852953811,0.875743604997026,0.87973428514773
