"replication","eta","seed","source","source_label","method","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
11,0.001,21261387,"sine","Sine-cosine source","Matern 1.5",0.0427654836411852,0.0335484631908281,0.80785246876859,0.110736935606836,0.170331276026175,0.0245354144332891,-1.07374464835526
11,0.001,21261387,"sine","Sine-cosine source","Matern 2.5",0.041031373844827,0.0315771288192741,0.488399762046401,0.0632026777148499,0.414754238548483,0.0255257063103117,1.96403743013423
11,0.001,21261387,"spike","Hidden narrow spike","Tikhonov discrepancy",0.0470825737053456,0.00964826091563745,NA,NA,NA,NA,NA
11,0.001,21261387,"mixture","Broad plus sharp source","Tikhonov discrepancy",0.0482227575080564,0.0189312975064665,NA,NA,NA,NA,NA
11,0.001,21261387,"dipole","Positive-negative dipole","Tikhonov discrepancy",0.0559882098594634,0.0253826126091085,NA,NA,NA,NA,NA
11,0.001,21261387,"ring","Ring-shaped source","Tikhonov discrepancy",0.172695245915864,0.100928919818925,NA,NA,NA,NA,NA
11,0.001,21261387,"edge","Moving-edge source","Tikhonov discrepancy",0.275829555620943,0.162988170326346,NA,NA,NA,NA,NA
11,0.001,21261387,"sine","Sine-cosine source","Tikhonov discrepancy",0.177390296080291,0.0879670994157497,NA,NA,NA,NA,NA
12,0.001,21361387,"spike","Hidden narrow spike","RBF",0.043996922613374,0.0104290645084784,0.932183224271267,0.0888002368736361,0.134489515169542,0.0127736216826501,-0.491749886696238
12,0.001,21361387,"spike","Hidden narrow spike","Matern 0.5",0.0454199020051326,0.0100146064324208,0.969660916121356,0.156248507267657,0.155321609161214,0.0152457159213043,-1.63682386103717
12,0.001,21361387,"spike","Hidden narrow spike","Matern 1.5",0.0442674515135897,0.0103191367596715,0.956573468173706,0.11851325623603,0.140594512195122,0.0137970816529872,-1.41260387502375
12,0.001,21361387,"spike","Hidden narrow spike","Matern 2.5",0.0441060727850698,0.010350955537371,0.94824509220702,0.10733606432718,0.136497248661511,0.0134001530450635,-1.20726894973554
12,0.001,21361387,"mixture","Broad plus sharp source","RBF",0.0629837604445558,0.0234312441987644,0.896490184414039,0.105758763842115,0.0834633402736466,0.0210563198256142,2.4419677722012
12,0.001,21361387,"mixture","Broad plus sharp source","Matern 0.5",0.0484143656867064,0.0190543668883339,0.984533016061868,0.279293426423431,0.162729402141582,0.0233668747529279,-1.44119411119847
12,0.001,21361387,"mixture","Broad plus sharp source","Matern 1.5",0.0554284781710813,0.0200545075439283,0.940511600237954,0.153353899386777,0.120807183224271,0.0198166058721645,-0.860075072701979
12,0.001,21361387,"mixture","Broad plus sharp source","Matern 2.5",0.0583870139462161,0.021058256596627,0.930993456276026,0.130412082452322,0.10652996728138,0.0199715494834947,-0.0385043458376166
12,0.001,21361387,"dipole","Positive-negative dipole","RBF",0.0347075505124217,0.0167886112922994,0.96192742415229,0.193119706013361,0.122599271267103,0.0188322980293925,-1.45744764080027
