"source","hyper_method","kernel","nominal","empirical"
"dipole","multistart_eb","matern25",0.7,0.941701368233195
"dipole","multistart_eb","matern25",0.8,0.96133254015467
"dipole","multistart_eb","matern25",0.9,0.97441998810232
"dipole","multistart_eb","matern25",0.95,0.979773944080904
"dipole","multistart_eb","matern25",0.975,0.981558596073766
"dipole","multistart_eb","matern25",0.99,0.985127900059488
"dipole","map","rbf",0.5,0.792980368828079
"dipole","map","rbf",0.6,0.844735276621059
"dipole","map","rbf",0.7,0.882212968471148
"dipole","map","rbf",0.8,0.921475312314099
"dipole","map","rbf",0.9,0.949434860202261
"dipole","map","rbf",0.95,0.96192742415229
"dipole","map","rbf",0.975,0.971445568114218
"dipole","map","rbf",0.99,0.976799524092802
"dipole","map","matern05",0.5,0.959547888161808
"dipole","map","matern05",0.6,0.964901844140393
"dipole","map","matern05",0.7,0.969660916121356
"dipole","map","matern05",0.8,0.977989292088043
"dipole","map","matern05",0.9,0.982153480071386
"dipole","map","matern05",0.95,0.991671624033314
"dipole","map","matern05",0.975,0.993456276026175
"dipole","map","matern05",0.99,0.998810232004759
"dipole","map","matern15",0.5,0.913741820345033
"dipole","map","matern15",0.6,0.945865556216538
"dipole","map","matern15",0.7,0.963712076145152
"dipole","map","matern15",0.8,0.972635336109459
"dipole","map","matern15",0.9,0.979179060083284
"dipole","map","matern15",0.95,0.981558596073766
"dipole","map","matern15",0.975,0.983938132064248
"dipole","map","matern15",0.99,0.988102320047591
"dipole","map","matern25",0.5,0.878048780487805
"dipole","map","matern25",0.6,0.916121356335515
"dipole","map","matern25",0.7,0.942891136228435
"dipole","map","matern25",0.8,0.962522308149911
"dipole","map","matern25",0.9,0.9738251041047
"dipole","map","matern25",0.95,0.979773944080904
"dipole","map","matern25",0.975,0.980368828078525
"dipole","map","matern25",0.99,0.983343248066627
"ring","multistart_eb","rbf",0.5,0.511005353955979
"ring","multistart_eb","rbf",0.6,0.563355145746579
"ring","multistart_eb","rbf",0.7,0.61570493753718
"ring","multistart_eb","rbf",0.8,0.642474717430101
"ring","multistart_eb","rbf",0.9,0.677572873289708
"ring","multistart_eb","rbf",0.95,0.703747769185009
"ring","multistart_eb","rbf",0.975,0.727543129089827
"ring","multistart_eb","rbf",0.99,0.754907792980369
"ring","multistart_eb","matern05",0.5,0.668649613325402
"ring","multistart_eb","matern05",0.6,0.706722189173111
"ring","multistart_eb","matern05",0.7,0.748364069006544
"ring","multistart_eb","matern05",0.8,0.814396192742415
"ring","multistart_eb","matern05",0.9,0.868530636525877
"ring","multistart_eb","matern05",0.95,0.894705532421178
"ring","multistart_eb","matern05",0.975,0.919095776323617
"ring","multistart_eb","matern05",0.99,0.938132064247472
"ring","multistart_eb","matern15",0.5,0.594289113622844
"ring","multistart_eb","matern15",0.6,0.634741225461035
"ring","multistart_eb","matern15",0.7,0.671624033313504
"ring","multistart_eb","matern15",0.8,0.703152885187388
"ring","multistart_eb","matern15",0.9,0.753123140987507
"ring","multistart_eb","matern15",0.95,0.800713860797145
"ring","multistart_eb","matern15",0.975,0.838191552647234
"ring","multistart_eb","matern15",0.99,0.863176680547293
"ring","multistart_eb","matern25",0.5,0.5639500297442
"ring","multistart_eb","matern25",0.6,0.61511005353956
"ring","multistart_eb","matern25",0.7,0.644854253420583
"ring","multistart_eb","matern25",0.8,0.682331945270672
"ring","multistart_eb","matern25",0.9,0.725758477096966
"ring","multistart_eb","matern25",0.95,0.757882212968471
"ring","multistart_eb","matern25",0.975,0.799524092801904
"ring","multistart_eb","matern25",0.99,0.832242712671029
"ring","map","rbf",0.5,0.495538370017847
"ring","map","rbf",0.6,0.556811421772754
"ring","map","rbf",0.7,0.604997025580012
"ring","map","rbf",0.8,0.646044021415824
"ring","map","rbf",0.9,0.681737061273052
"ring","map","rbf",0.95,0.710886377156455
"ring","map","rbf",0.975,0.735871505056514
"ring","map","rbf",0.99,0.758477096966092
"ring","map","matern05",0.5,0.67995240928019
"ring","map","matern05",0.6,0.720404521118382
"ring","map","matern05",0.7,0.772159428911362
"ring","map","matern05",0.8,0.827483640690065
"ring","map","matern05",0.9,0.873884592504462
"ring","map","matern05",0.95,0.903033908387864
"ring","map","matern05",0.975,0.923854848304581
"ring","map","matern05",0.99,0.944080904223676
"ring","map","matern15",0.5,0.596073765615705
"ring","map","matern15",0.6,0.644259369422962
"ring","map","matern15",0.7,0.685306365258775
"ring","map","matern15",0.8,0.727543129089827
"ring","map","matern15",0.9,0.778703152885187
"ring","map","matern15",0.95,0.817965496728138
"ring","map","matern15",0.975,0.853063652587745
"ring","map","matern15",0.99,0.872694824509221
"ring","map","matern25",0.5,0.5639500297442
"ring","map","matern25",0.6,0.61511005353956
"ring","map","matern25",0.7,0.656751933372992
"ring","map","matern25",0.8,0.697798929208804
"ring","map","matern25",0.9,0.738251041046996
"ring","map","matern25",0.95,0.779298036882808
"ring","map","matern25",0.975,0.809042236763831
"ring","map","matern25",0.99,0.847114812611541
"moving_edge","multistart_eb","rbf",0.5,0.342653182629387
"moving_edge","multistart_eb","rbf",0.6,0.414634146341463
"moving_edge","multistart_eb","rbf",0.7,0.481856038072576
"moving_edge","multistart_eb","rbf",0.8,0.548483045806068
"moving_edge","multistart_eb","rbf",0.9,0.612730517549078
"moving_edge","multistart_eb","rbf",0.95,0.660321237358715
"moving_edge","multistart_eb","rbf",0.975,0.706722189173111
"moving_edge","multistart_eb","rbf",0.99,0.749553837001785
"moving_edge","multistart_eb","matern05",0.5,0.64069006543724
"moving_edge","multistart_eb","matern05",0.6,0.70493753718025
"moving_edge","multistart_eb","matern05",0.7,0.764425936942296
"moving_edge","multistart_eb","matern05",0.8,0.837001784651993
"moving_edge","multistart_eb","matern05",0.9,0.878643664485425
"moving_edge","multistart_eb","matern05",0.95,0.906603212373587
"moving_edge","multistart_eb","matern05",0.975,0.922070196311719
"moving_edge","multistart_eb","matern05",0.99,0.949434860202261
