"source","source_label","hyper_method","kernel","kernel_label","RMSE","MAE","Coverage95","CalibrationMAE","CRPS","NLPD"
"ring","Ring-shaped source","multistart_eb","matern15","Matern 1.5",0.160640097619912,0.102912446703244,0.800713860797145,0.101756023200476,0.0854661619777989,0.164015029549525
"ring","Ring-shaped source","multistart_eb","matern25","Matern 2.5",0.161055460560386,0.10360688876336,0.757882212968471,0.118933298631767,0.086575100495769,0.576335854405318
"ring","Ring-shaped source","map","rbf","RBF",0.158575126948595,0.103421795581374,0.710886377156455,0.153079640095181,0.0875854004939861,1.91837459786692
"ring","Ring-shaped source","map","matern05","Matern 0.5",0.159378609991501,0.100610195799516,0.903033908387864,0.0712682183224271,0.0843530842557295,-0.372903055261989
"ring","Ring-shaped source","map","matern15","Matern 1.5",0.155880985056261,0.100350547632444,0.817965496728138,0.0900070642474717,0.0828951864261009,-0.00271338382407815
"ring","Ring-shaped source","map","matern25","Matern 2.5",0.156405571918962,0.101092495184161,0.779298036882808,0.108225386674598,0.0840305379781146,0.392960794987699
"moving_edge","Moving-edge source","multistart_eb","rbf","RBF",0.2205758895992,0.150181263873698,0.660321237358715,0.237255725758477,0.123776706130726,4.03291424500977
"moving_edge","Moving-edge source","multistart_eb","matern05","Matern 0.5",0.192006010432784,0.127361985768826,0.906603212373587,0.0631629238548483,0.100189743160614,-0.22929136102224
"moving_edge","Moving-edge source","multistart_eb","matern15","Matern 1.5",0.203234147638066,0.135143228015657,0.798929208804283,0.11961741522903,0.107971318543263,0.740448619861659
"moving_edge","Moving-edge source","multistart_eb","matern25","Matern 2.5",0.208497221040024,0.139577614642986,0.753718024985128,0.165051680547293,0.112908245323352,1.59981278964636
"moving_edge","Moving-edge source","map","rbf","RBF",0.218936202696212,0.149011120517205,0.662700773349197,0.232794095776324,0.122523663369525,3.83983979974044
"moving_edge","Moving-edge source","map","matern05","Matern 0.5",0.192924944117316,0.128626268350988,0.914336704342653,0.0637578078524688,0.101087788645493,-0.235357813250009
"moving_edge","Moving-edge source","map","matern15","Matern 1.5",0.202419540841626,0.134726738157308,0.80785246876859,0.113742935752528,0.107267422910495,0.633392154382941
"moving_edge","Moving-edge source","map","matern25","Matern 2.5",0.207361226215656,0.138676104819427,0.75609756097561,0.161705458060678,0.11198028405557,1.46089034931671
"sine","Sine-cosine source","multistart_eb","rbf","RBF",0.0440508502520872,0.0353274237785289,0.838786436644854,0.113296772754313,0.0251469373810307,-1.60652140179086
"sine","Sine-cosine source","multistart_eb","matern05","Matern 0.5",0.0859885245225011,0.0659553619032502,0.996430696014277,0.141016136228435,0.0535441001607472,-0.800901129731944
"sine","Sine-cosine source","multistart_eb","matern15","Matern 1.5",0.0567816205668143,0.0438568834089791,0.995240928019036,0.0586247025580012,0.0310893645498321,-1.49660977803193
"sine","Sine-cosine source","multistart_eb","matern25","Matern 2.5",0.0498090704403781,0.0395262198677973,0.969066032123736,0.0111827037477692,0.0275717314021068,-1.63385041558991
"sine","Sine-cosine source","map","rbf","RBF",0.0442107487605302,0.0354489015391626,0.837596668649613,0.114783982748364,0.0252277072740147,-1.60259175618023
"sine","Sine-cosine source","map","matern05","Matern 0.5",0.0772178187165831,0.058431536315317,1,0.163919170136823,0.0507469714783266,-0.816290607846051
"sine","Sine-cosine source","map","matern15","Matern 1.5",0.0576110067844189,0.0444832218283288,0.995240928019036,0.06353249553837,0.0316469048979541,-1.47462354673773
"sine","Sine-cosine source","map","matern25","Matern 2.5",0.0503456801604951,0.0398901489818598,0.972635336109459,0.0100524241522903,0.0278309152205703,-1.62661249409383
