"source","hyper_method","kernel","parameter","log_value","natural_value","convergence"
"moving_edge","map","matern05","log_sigma_f",-0.621107905974165,0.537348775768072,0
"moving_edge","map","matern05","log_sigma_n",-7.69041999708719,0.00045718611456974,0
"moving_edge","map","matern15","log_ell",-1.05122837059038,0.349508159773155,0
"moving_edge","map","matern15","log_sigma_f",-0.59699551558007,0.550463011627942,0
"moving_edge","map","matern15","log_sigma_n",-7.52544588052462,0.000539188201269258,0
"moving_edge","map","matern25","log_ell",-1.22042135706372,0.295105795811921,0
"moving_edge","map","matern25","log_sigma_f",-0.610846856120937,0.542890923846412,0
"moving_edge","map","matern25","log_sigma_n",-7.48074398795235,0.000563837770978083,0
"sine","multistart_eb","rbf","log_ell",-1.16421143624887,0.312168729944449,0
"sine","multistart_eb","rbf","log_sigma_f",-0.524377106348211,0.591923955232499,0
"sine","multistart_eb","rbf","log_sigma_n",-8.07310216882102,0.000311814477995727,0
"sine","multistart_eb","matern05","log_ell",-0.0917546233835256,0.912328986281582,0
"sine","multistart_eb","matern05","log_sigma_f",-0.442628593867601,0.64234573393459,0
"sine","multistart_eb","matern05","log_sigma_n",-10.2243177829423,3.62773208127672e-05,0
"sine","multistart_eb","matern15","log_ell",-0.545957176219922,0.579287038110341,0
"sine","multistart_eb","matern15","log_sigma_f",-0.31921246803826,0.726721127889707,0
"sine","multistart_eb","matern15","log_sigma_n",-8.16694816714,0.000283883059438794,0
"sine","multistart_eb","matern25","log_ell",-0.767610033711018,0.464120977341107,0
"sine","multistart_eb","matern25","log_sigma_f",-0.353368532285951,0.702318318702877,0
"sine","multistart_eb","matern25","log_sigma_n",-8.1059279762542,0.000301745088072742,0
"sine","map","rbf","log_ell",-1.17176195504627,0.30982057014915,0
"sine","map","rbf","log_sigma_f",-0.535413307771576,0.585427278491697,0
"sine","map","rbf","log_sigma_n",-8.08533337158992,0.000308023841170122,0
"sine","map","matern05","log_ell",-0.566885696719305,0.567289401760864,0
"sine","map","matern05","log_sigma_f",-0.682959935438241,0.505119655879144,0
"sine","map","matern05","log_sigma_n",-8.45433533713668,0.000212975092196618,0
"sine","map","matern15","log_ell",-0.692299710878187,0.500423914442827,0
"sine","map","matern15","log_sigma_f",-0.467924846666318,0.626300590466181,0
"sine","map","matern15","log_sigma_n",-8.17692118001469,0.00028106596086154,0
"sine","map","matern25","log_ell",-0.832000976728889,0.435177634215582,0
"sine","map","matern25","log_sigma_f",-0.440170732026645,0.643926472825848,0
"sine","map","matern25","log_sigma_n",-8.11866626123056,0.000297925750699503,0
