"quantity","type","rank_split_Rhat","bulk_ESS","MCSE_mean","posterior_mean","posterior_sd","ESS_per_second","source","source_label"
"mu_f(0.75,0.25)","downstream_posterior_mean",1.00141277258177,973.172001870228,0.000488362780403856,0.0509231235317792,0.0152348211633244,23.5065700934838,"ring","Ring"
"mu_f(0.75,0.75)","downstream_posterior_mean",1.00149272989901,975.662346808793,0.000407835789886702,0.0740761407388908,0.0127389932447692,23.5667233528694,"ring","Ring"
"log_ell","hyperparameter",1.00330121386859,922.7872949067,0.01187009979787,-0.570123991773511,0.360582938434299,24.1820569944104,"edge","Moving edge"
"log_sigma_f","hyperparameter",1.00262985010205,885.025725403753,0.00590898023799367,-0.608629567696218,0.175788509935442,23.1924980451717,"edge","Moving edge"
"log_sigma_n","hyperparameter",1.00431752673418,941.552049532351,0.00671588293943193,-7.63901598528332,0.206074988430619,24.6737958472838,"edge","Moving edge"
"mu_f(0.25,0.25)","downstream_posterior_mean",1.00237365850221,899.552259327739,0.000565509520186714,-0.0424418138779731,0.0169610650537369,23.5731724142489,"edge","Moving edge"
"mu_f(0.5,0.5)","downstream_posterior_mean",1.00170518192909,899.835166547454,0.00137239079886432,0.766782454960942,0.0411679535280574,23.5805861254574,"edge","Moving edge"
"mu_f(0.75,0.25)","downstream_posterior_mean",1.00243647681741,905.503991364868,0.000357791814076623,0.990874420419968,0.0107665257792349,23.7291402349284,"edge","Moving edge"
"mu_f(0.75,0.75)","downstream_posterior_mean",1.00355043033128,945.409952172328,0.000147424834278279,1.04449052344363,0.0045329479590109,24.7748939248514,"edge","Moving edge"
"log_ell","hyperparameter",1.00270741790463,1012.84833434864,0.0118474681202463,-0.631850798569615,0.377048969235188,26.6749627165827,"sine","Sine-cosine"
"log_sigma_f","hyperparameter",1.00715067270926,921.876294848573,0.0059405049743444,-0.70195300899121,0.180368082253105,24.2790701830017,"sine","Sine-cosine"
"log_sigma_n","hyperparameter",1.00278644080767,620.251560819847,0.0105661537299299,-8.50687746825135,0.263148475268835,16.3353057893033,"sine","Sine-cosine"
"mu_f(0.25,0.25)","downstream_posterior_mean",1.00270859457931,575.976599211658,0.000185209423795278,-0.047063711409001,0.00444493587753364,15.169254653981,"sine","Sine-cosine"
"mu_f(0.5,0.5)","downstream_posterior_mean",1.0025688230345,586.551344753758,0.000566262115501288,-0.885638298533914,0.0137142014471424,15.4477573019162,"sine","Sine-cosine"
"mu_f(0.75,0.25)","downstream_posterior_mean",1.00260071428958,581.226089171589,0.000248078584904404,-0.0260876386547664,0.00598083506491883,15.3075082742057,"sine","Sine-cosine"
"mu_f(0.75,0.75)","downstream_posterior_mean",1.00272039349011,584.786308835954,9.64091997077516e-05,0.0131749573008264,0.00233140152347605,15.4012722895958,"sine","Sine-cosine"
