"source","chain","retained_draws","warmup_acceptance_rate","sampling_acceptance_rate","final_scale","final_cov_11","final_cov_22","final_cov_33","final_cov_12","final_cov_13","final_cov_23","runtime_seconds","initial_log_ell","initial_log_sigma_f","initial_log_sigma_n","source_label"
"dipole",3,700,0.267723102585488,0.216785714285714,2.77843798440095,0.527051402786831,0.060313576275829,0.335051865416108,0.111356874362459,0.0181345658976197,-0.00722259361603286,10.39,-1.70125332695111,-1.8850635023488,-9.65894692502191,"Dipole"
"dipole",4,700,0.253544620517098,0.193214285714286,2.71023023360383,0.527828839345032,0.0757016302183268,0.314876994359365,0.120984648646561,0.00650214365316437,-0.00711404187941074,10.3,-2.25125332695111,-1.9350635023488,-9.55894692502191,"Dipole"
"ring",1,700,0.263552960800667,0.2025,3.31025948683347,0.657732320820868,0.0643617937673334,0.470996291170367,0.0746585768995814,0.261259612806229,-0.0237976382629985,10.32,-2.0393687353503,-1.32303740136278,-8.49504268827045,"Ring"
"ring",2,700,0.237698081734779,0.223571428571429,2.44399066110836,0.444278499484828,0.0688199470465831,0.335759593454451,0.0606870704375935,0.116574990403028,-0.0278160978302141,10.35,-2.3893687353503,-1.07303740136278,-8.64504268827045,"Ring"
"ring",3,700,0.252710592160133,0.245714285714286,2.48080286029561,0.417972441850753,0.0639213493422303,0.302925529898005,0.0550646538229947,0.126312835928481,-0.0454674428511253,10.39,-1.6893687353503,-1.57303740136278,-8.34504268827045,"Ring"
"ring",4,700,0.256880733944954,0.191785714285714,3.04486288253024,0.595701337476534,0.0741389732964222,0.365895161848493,0.0959322898195599,0.173858640570463,-0.0158300788283912,10.34,-2.2393687353503,-1.62303740136278,-8.24504268827045,"Ring"
"edge",1,700,0.261050875729775,0.2275,3.26853681896508,0.350979788869075,0.100787841625063,0.128491847944327,0.112272035318677,0.0295742644830661,-0.0105290715025314,9.77,-0.594914315179796,-0.656700379794908,-7.61368334586167,"Moving edge"
"edge",2,700,0.271059216013344,0.2225,2.82861596877619,0.380065332894294,0.0928333497029882,0.124243321490998,0.105097232648762,0.0574687958883769,-0.00905182107472325,9.64,-0.944914315179796,-0.406700379794908,-7.76368334586167,"Moving edge"
"edge",3,700,0.271893244370309,0.219285714285714,3.00072838565873,0.433005634978657,0.119582921984729,0.110714475150749,0.134056916604769,0.0378420453092333,-0.0146751098823467,9.45,-0.244914315179796,-0.906700379794908,-7.46368334586167,"Moving edge"
"edge",4,700,0.263552960800667,0.2325,2.85139301383174,0.446134154002916,0.0870697768131977,0.127639062007086,0.103151200486652,0.0420127978486071,-0.0252892111944012,9.3,-0.794914315179796,-0.956700379794908,-7.36368334586167,"Moving edge"
"sine",1,700,0.298582151793161,0.189285714285714,3.81088756812212,0.574022941237533,0.116668088505935,0.217228882612508,0.20547736804314,0.0126917166967882,0.0113874712570776,9.3,-0.681344946805643,-0.747115139458209,-8.49143811627133,"Sine-cosine"
"sine",2,700,0.253544620517098,0.25,2.54633169570543,0.41814732080745,0.0887920003329597,0.139973694710664,0.144666763870451,-0.00712293323849816,-0.00917027911184575,9.67,-1.03134494680564,-0.497115139458209,-8.64143811627133,"Sine-cosine"
"sine",3,700,0.26605504587156,0.239642857142857,3.04242612776892,0.417729284430622,0.0815636862316061,0.200212106332356,0.137422430635551,0.0200896146452394,0.000920428802538654,9.61,-0.331344946805643,-0.997115139458209,-8.34143811627133,"Sine-cosine"
"sine",4,700,0.281067556296914,0.231071428571429,3.11764808429099,0.464368391242045,0.110182779387227,0.198167572039661,0.187964014464196,-0.00525759356203359,-0.00796983326758388,9.39,-0.881344946805642,-1.04711513945821,-8.24143811627133,"Sine-cosine"
